label,text
1,Plans by Bevcorp LLC of Willoughby to consolidate from four buildings to one has prompted the sale of the industrial building at 37200 Research Center Drive in Eastlake to an investor group for $4.5 million.
1,Heijmans (AMS:HEIJM) has had a rough month with its share price down 10.0%.
1,Heijmans' Earnings Growth And 18% ROE
1,This probably laid the ground for Heijmans' significant 66% net income growth seen over the past five years.
1,As a next step  we compared Heijmans' net income growth with the industry  and pleasingly  we found that the growth seen by the company is higher than the average industry growth of 14%.
1,The three-year median payout ratio for Heijmans is 39%  which is moderately low.
1,So it seems that Heijmans is reinvesting efficiently in a way that it sees impressive growth in its earnings (discussed above) and pays a dividend that's well covered.
1,Heijmans is a smaller company with a market capitalization of €309m  so it may still be flying under the radar of many institutional investors.
1,Insulin imports rose 13% in the first half of the year  rising $73 million to $82 million  yet insurance sales fell $42 million to $39 million in the same period  according to Radio Zamaneh  adding that insulin must be exiting the supply chain somewhere before the intended end point.
1,In her new role  Grace will have business accountability for the direct digital business  and be responsible for integrating digital offerings such as Manulife iFUNDS and post log-in website experience into the firm's digital ecosystems across investment and pension platforms  with the objective of creating persistent business returns.
1,READ MORE: Indigenous leader tells Quebec coroner’s inquest community haunted by Joyce Echaquan’s death
1,ONWARD (@onwdempowered)  formerly known as GTX Medical  is a medical technology company creating innovative therapies to restore movement  independence  and health in people with spinal cord injury.
1,Ohpen now holds assets under management of €100bn and the two companies together have over 350 staff and have generated €35m in revenue.
1,Waterland Private Equity Investments (Waterland) has closed ts eighth institutional fund  Waterland Private Equity Fund VIII (WPEF VIII) at EUR2.5 billion.
1,Waterland Private Equity Investments  the €8 billion portfolio Dutch private equity house  has today launched a new €2.5 billion fund for Europe.
1,The Top Leading players working in the market to Covered in this Report: Omya Ag  Penford Corporation  Avebe  Imerys S.A.  Air Products And Chemicals Inc  Basf Se  Mondo Minerals B.V.  Michelman Inc  Roquette Group  The Dow Chemical Co.
1,This includes the study of various parameters affecting the industry  including the government policy  market environment  competitive landscape (including companies like Magnesita  RHI AG  Vesuvius  Plibrico  Morgan Advanced Materials  EKW REFRACTARIOS  and more)  historical data  present trends in the market  technological innovation  upcoming technologies  and the technical progress in related industry.
1,Adyen’s $2.3 billion valuation in 2015 really was $2.3 billion.
1,“Although the construction industry is hit heavily by the recession  Werkspot.nl has grown by 250% over the last three years.
1,It plunged -12.5% following an 8-K that called doubt as to whether their deal with EVBox will ultimately be completed.
1,Based on the valuation initially presented when the merger was announced  EVBox would have a market capitalization of about $1.4 billion at the current share price.
1,Essent also announced today that its Board of Directors has authorized a $250 million share repurchase plan to be executed by the end of 2022 and declared a quarterly cash dividend of $0.17 per common share.
1,The consolidated balance of cash and investments at March 31  2021 was $4.9 billion  including cash and investment balances at Essent Group Ltd. of $540.3 million.
1,The combined risk-to-capital ratio of the U.S. mortgage insurance business  which includes statutory capital for both Essent Guaranty  Inc. and Essent Guaranty of PA  Inc.  was 10.6:1 as of March 31  2021.
1,As a money management app Yolt has amassed over 1.5m registered customers and has integrations with over 31 banks  including challenger banks Monzo  Starling Bank and Revolut.
1,Driving a multi-vendor IoT architecture  the PostNL project team was able to design the seamless flow of information from a beacon attached to a ULD in the field  through various mobile  access points and other gateways  to the cloud where it is processed and analyzed.
1,EXCLUSIVE: Vertical Entertainment has promoted Nick Muntz to VP Sales and Distribution.
1,In Science Advances  a Dutch-American research team  coordinated by Radboudumc  now describes how these problems can arise.
1,The appeals chamber of the Bosnian state court found Enver Buza guilty on Friday of failing to order an investigation after members of the Bosnian Army’s Prozor Independent Battalion killed 27 civilians in Uzdol on September 14  1993  including women  children and elderly people.
1,As per study key and emerging players of this market are LC Packaging  EL Dorado Packaging  Inc.  NPP Group Limite  Plasteuropa Group  NYP Corp.  ABC Packaging Direct  Shenzhen Longma Industrial Co.  Limited  Amcor Limited  Mondi Group  Proampac  Sonoco Products Company .
1,Amels and Damen Yachting sales manager Jorrit Pilaar commented on behalf of the yard:
1,At the center of an otherwise tightly drawn plot  We Are 100 (Red Oak Press)  the March 2021 debut novel from Iowa City comedian Nathan Timmel  there is a hole big enough to drive a truck through.
1,There is a photograph of Frank de Boer from May 2016 which marks the end of one period in his life and the beginning of another.
1,The first contact with GANNI was established during a Nedap Retail Round Table  a networking event with the objective to connect retailers with each other to share experiences with regards to RFID and its use cases.
1,Fagron increases share capital through subscription right exercises
1,announce that they have reached an agreement for Yokogawa to take a €6 million stake in Sensire and to begin collaborating in the cold chain monitoring field.
1,To achieve this  it has invested €6 million in internet of things (IoT) technology firm Sensire to begin collaborating in the cold chain monitoring field.
1,Heat- E. Geary  T. Hutten  D. Graciani  J. Wheeler  Z. Hershey  C. Boyd  J. Ramirez  T. Mendiola  K. Hook  W. Newbury  R. Lapp
1,Reyn Hutten ’21 said the pandemic derailed her plans to work in Alaska over the summer for the Dartmouth Indian Islands Institute  a non-profit organization that helps to educate rising environmental leaders.
1,Driven2SaveLives BC39 Powered by NOS Energy Drink Is Back Aug. 18-19 at IMS
1,TORONTO  Jan. 05  2021 (GLOBE NEWSWIRE) -- ORYX Gaming  a Bragg Gaming Group company (TSXV: BRAG  OTC:BRGGF)  has extended its reach into the Netherlands  thanks to a deal with leading Dutch land-based operator  JVH gaming & entertainment group (“JVH”).
1,The newly diversified platform — which adds a mobile-based  personalized customer experience to AdvantEdge’s physical  digital and experiential rewards — was launched by Price Chopper/Market 32 this month in tandem with development partner TCC Global  a leading worldwide provider of currency/rewards programs for supermarkets.
1,Major industry Players: Gibraltar  Richel  Hoogendoorn  Dalsem  HortiMaX  Harnois Greenhouses  Priva  Ceres greenhouse  Van Wingerden  Netafim  Stuppy Greenhouse  Williamson  Green-Tek  Ludy Greenhouse  Schaefer Ventilation  Delta T Solution  Modine  Trueleaf  Coolair
1,Firefighters were called to the Q-Park Albion Street car park  off Butts Court and Short Street  just before 1pm.
1,(WTHI) - News 10 has learned that a Vigo County councilman and his wife have died after being hit by a car in South Carolina.
1,Netherlands-based Exasun told CleanTechnica that it started producing its solar roof tiles back in 2015.
1,The Fullerton Hotel Sydney in partnership with Balmain Paris Hair Couture has curated a hair styling suite to treat mums to a Balmain Hair Couture dry-up styling excellence experience.
1,While the violin solos are most difficult in their fugues and implied counterpoint  he said  the cello works more or less keep multiple voices within the same line.
1,MORE: Former Florida data official yo-yos on congressional bid | Agriculture commissioner running for governor | Former Florida governor running again  this time as Democrat
1,Eutelsat  Inmarsat  SES  Arabsat  Intelsat  Asia Satellite Telecommunications  O3b Networks 
1,Infermedica  an AI-driven pre-diagnostics and care coordination platform – has launched a new paediatrics solution to enable preliminary diagnosis and triage of infants  toddlers and children.
1,LAUSANNE  Switzerland--(BUSINESS WIRE)--Lunaphore Technologies SA  a Swiss life-sciences company developing innovative next-generation equipment for cancer research  announces the appointment of Matthias Weber  former President of Leica Biosystems  to its Board of Directors.
1,European peer-to-peer lender Bondora notes that 2021 is “proving to be a year of continuous  sustainable growth” for the company.
1,MyStation’s long list of features can all even be controlled by its companion smartphone app called the MyKronoz.
1,Digital Transaction’s ParallelChain blockchain has been selected by global fintech Paywiser for its KYC and business operations.
1,Read the complete research at www.researchgate.net.
1,Join Drizzt Do’Urden and his heroic companions on a journey through Icewind Dale in Dungeons & Dragons: Dark Alliance   the upcoming co-op action brawler from Tuque Games.
1,Tesla and Fastned  a Dutch charging network  are creating what they call an ‘Energy Superhub ’ a large dual-branded charging station in Oxford.
1,Veriff  a global identity verification provider released its new Anti Money Laundering (AML) compliance product  providing its customers with a full suite of tools to help them comply with anti-money laundering regulations.
1,Top Key players included in this Research: Atheer  Microsoft Dynamics 365  Acty (ICONA)  VSight  TeamViewer  Scope AR  TechSee  REÂ’FLEKT  Remote Eye  Augmentir  Plutomen Technologies  Brochesia  Epson  Lenovo  Upskill  KDDI Research  PTC  Fieldbit  Trimble
1,3E Company  ProcessMAP Corporation  Enablon North America Corporation  Enviance  EtQ  Enhesa technologies  Intelex Technologies  Gensuite  Medgate  HSE Integrated Ltd.  Trinity Consultants  VelocityEHS  UL LLC 
1,Six of them know each other from the days of working together at Wunderlist — a task management app founded by Reber  Prevot and Martin in 2010.
1,WARSAW  POLAND  June 7  2021 / EINPresswire.com / -- Cashforce   an innovative Cash Forecasting and Working Capital Analytics solution provider  has announced it will open a new office in Warsaw  Poland to expand the company’s activities.
1,Grover D. Mullenax  87  a resident of Mansfield Place of Broaddus Hospital and a former resident of Belington  passed away Tuesday June 8  2021.
1,A copy of the prospectus issued by the company and reviewed by Inc42 reveals that Etergo was valued at north of €65 Mn in March 2019.
1,But after the buyout  the per-share price came down to €0.0179986  according to emails sent to Etergo investors in May 2020.
1,The email also mentioned that they might redeem their shares at €0.0179986 per unit  which according to Inc42’s estimates  values Etergo at around €3.75 Mn after the Ola buyout.
1,According to the email exchanges between Etergo and two different shareholders  which have been reviewed by Inc42  the Dutch startup has also stated that investors do not have an option to hold onto their shares or convert those into equity shareholding in Ola Electric.
1,It means the cofounders have waived their shares in Etergo and distributed those in the STAK pool — the entity that holds the stake of the minority shareholders.
1,Mercurius Capital's shares soared over 21% in recent trade.
1,SINGAPORE (April 9): Catalist-listed Mercurius Capital Investment's share price has jumped 20% following its announcement on April 9 that it has entered into a legally binding term sheet with seven individuals to acquire 10 grocery businesses in Malaysia for S$36 million.
1,Despite the unprecedented global economic impact of Covid-19  Shippeo has more than doubled its subscription revenues year on year  while successfully increasing its customer base in 2020 with major industrial brands and fourth-party logistics providers such as Kuehne+Nagel  Total  Hager or Krone.
1,PARIS--(BUSINESS WIRE)--Shippeo  the European leader in Real-Time Transportation Visibility solutions  announced today record growth in the first half of 2020.
1,It's nice to see that Fastned B.V shareholders have gained 425% over the last year.
1,And while it is coming at an up round  Blacklane is not disclosing any figures  nor has it ever disclosed valuation.
1,The funding is coming after what has been an extremely rough year for travel and transportation startups due to the COVID-19 pandemic  with Blacklane itself seeing monthly revenues drop 99% after the pandemic hit last year  the company tells me.
1,Daimler is Blacklane’s largest shareholder with just under 30 per cent.
1,In May  Martech Advisor reported that SALESmanago was on pace to hit €15.6 million in 2019 revenues.
1,As a reminder  Jamendo generated €2.7m in revenue in the fiscal year 2019  accounting for 12% of the group's total sales.
1,Jamendo Rights Management is expected to begin posting revenue in 2021.
1,We are talking about a global market of around €10 billion in revenue per year ” explains Jocelyn Seilles  General Manager of Jamendo.
1,Protolabs has also established an employee incentive fund payable to 3D Hubs employees based on achievement of both financial performance and employee retention targets.
1,3D Hubs’ 2020 revenue is estimated to be $25 million and the company’s revenue has had a compound annual growth rate of over 200% since 2017.
1,In a call  Helpling co-founder Benedikt Franke declined to comment on the company’s valuation or specifically which existing investors participated  except to confirm that APACIG led the round.
1,He did say  however  that the new injection of cash is designed to enable Helpling to get to profitability within the next year.
1,Delivered to your door in their chic pale pink boxes  GLOSSYBOX covers all your beauty bases with their edit of the best new skincare  makeup and hair products  giving you the chance to try before you buy.
1,Nordigen  a Latvian startup that is challenging the foundational business models of Tink  Plaid and TrueLayer by providing fee-free access to over 1000 European bank APIs  has raised €2.1 million in a seed financing round.
1,Virtual architecture firm INVI  which touts itself as creating “virtual experiences through architecture  storytelling  and design ” according to the studio’s website.
1,Kry’s year-over-year growth in 2020 was 100% — meaning that the ~1.6M digital doctors appointments it had served up a year ago now exceed 3M.
1,The latest financing follows a period of sharp growth for Kry  which reportedly saw business double in 2020.
1,ManoMano’s sales are also accelerating as the company reported a 50% increase in 2019 gross merchandise volume compared to 2018.
1,The company is also growing nicely on the professional segment with its ManoManoPro vertical.
1,Today  ManoMano is one of the most exciting consumer marketplaces  proving that there is room for $1bn+ size vertical marketplaces to compete with giants like Amazon.
1,By doubling its business volume in 2020  ManoMano confirmed the scalability of its model
1,Additionally  2020 marks ManoMano’s acceleration in the European markets (Belgium  Spain  Italy  Germany and the United Kingdom)  where the company achieves 40% of its business volume.
1,ManoMano saw a significant increase in demand in 2020  with sales turnover in the UK increasing by 240% to €105M with over 4 million sessions.
1,The UK is THE most important DIY market for ManoMano  estimated to be worth €50BN - one of the biggest B2C DIY markets in Europe (Euromonitor 2019).
1,The digital penetration of the market in the UK is currently at 21%  which means for ManoMano  Europe’s digital leader in DIY  home and garden  the opportunity to grow is significant.
1,MoonX has topped 16% growth in each of the last two years and is on pace to cross a half-million cases for 2019.
1,Notably  that recent purchase by Kristian Kolberg is the biggest insider purchase of Huddly shares that we've seen in the last year.
1,When combined with notable insider ownership  these factors suggest Huddly insiders are well aligned  and quite possibly think the share price is too low.
1,According to Dirac CEO Peter Friedrichsen  this new round of fundraising brings the company’s total valuation to just under $142.2 million.
1,According to Dirac CEO Peter Friedrichsen  the new equity raise values the company at just under $142.2-million USD (1.200 MSEK) and positions Dirac to fully leverage and lead what it believes will be the next great era in audio driven by software rather than hardware alone.
1,“She is – after me – the second in working years at Xeltis”  says founder Martijn Cox  laughing.
1,“She is – after me – the second in working years at Xeltis”  says founder Martijn Cox  laughing.
