label, text
1,The Amsterdam-based B2B SaaS firm SwipeGuide has raised €5 million in a round led by Speedinvest and supported by CapitalT  and Plug & Play Ventures  as well as existing investors Newion and Brumbucks.
1,The new funding follows an earlier $1.5 million seed round and brings total raised by DigiExam to $5 million.
1,DigiExam Raises $3.5 Million: DigiExam  a provider of digital tools to create and grade academic tests  today announced it raised $3.5 million in a Series A funding round led by a syndicate of tech entrepreneurs and investors from Europe and Asia including Joen Bonnier  of the Bonnier family  owner of the largest media group in Sweden.
1,DigiExam was originally backed with seed funding from twp Spotify executives: Gustav Söderström  the chief product officer and Sophia Bendz  former chief marketing officer  and from Sven Hagströmer  an early investor and previous chairman of Unicorn Klarna.
1,All have made follow-on investments in DigiExam’s Series A financing.
1,Helpling  the Rocket Internet-founded company that lets you book a range of home services online  is disclosing €10 million in new funding.
1,According to sources  however  the new funding gives Helpling a significantly lower valuation than it attained during its previously disclosed $45 million (~€42m) Series B in March 2015.
1,Stockholm-based digital healthcare provider Kry  called Livi in the UK and France  raised €262 million in a Series D round in May  highlighting how investor interest in healthtech is not abating  even as coronavirus lockdowns lift and people can go back to their doctors.
1,Swedish digital health startup Kry  which offers a telehealth service (and software tools) to connect clinicians with patients for remote consultations  last raised just before the pandemic hit in Western Europe  netting a €140M Series C in January 2020.
1,Accel also participated in the round as well as angel investors Kristian Ranta  the founder and CEO of Meru Health  and Johannes Schildt  the cofounder and CEO of Kry.
1,Telehealth platform: Swedish digital health startup Kry has raised a hearty €262 million  or about $316 million  in its latest funding round.
1,Stockholm’s Kry picks up $317M for telehealth
1,Stockholm-based telehealth provider Kry raised 262 million euros ($317 million) in a Series D funding round led by CPP Investments and Fidelity Management & Research.
1,Was a real pleasure catching up with Johannes right after Kry’s €262 million Series D round.
1,French startup ManoMano is raising another mega round of funding.
1,This time  ManoMano is raising $139 million (€125 million)  with Temasek leading the round.
1,At the time  ManoMano raised $125 million (€110 million).
1,Overall  ManoMano has raised $344 million (€310 million) over the past six years.
1,Dirac Research has rasied $17.73 million in funding to create software audio solutions that will create the “future of sound.”
1,Swedish startup Dirac Research  whose tools and hardware purportedly “improve” the audio quality of sound recordings for listeners  has raised $17.73 million in fundraising.
1,According to Dirac CEO Peter Friedrichsen  this new round of fundraising brings the company’s total valuation to just under $142.2 million.
