label,text
,NEW YORK  May 17  2021 /PRNewswire/ -- DLA Piper represented SparkPost in its acquisition by MessageBird  a leading global omnichannel communication platform  for US$600 million.
,"""We were thrilled to partner with SparkPost to facilitate its sale to MessageBird  which will allow our client to bring enhanced value to its customers and continue providing them with innovative solutions "" Hendershot said."
,Key Players covering This Report: – Plum Voice  Nexmo (Vonage)  Vidyo (Enghouse Systems)  Sonar  Mitel  MessageBird  Voxbone  Infobip  Bandwidth  Alcatel Lucent Enterprise (ALE)  Pontaltech  Wavy  Plivo  RingCentral.
,MessageBird founder and CEO Robert Vis.
,LONDON — Dutch communications software start-up MessageBird said Wednesday that it had raised fresh funding and agreed to acquire commercial email platform SparkPost in a $600 million all-cash deal to help it expand its presence in the United States.
,MessageBird  which competes with American cloud communications platform Twilio  says it raised a total of $1 billion in a Series C funding round  $200 million of which was raised last year.
,MessageBird's platform makes it easier for companies to communicate with their customers through a range of channels including SMS  voice and messaging platforms like WhatsApp.
,The acquisition of SparkPost will add email to MessageBird's suite of communication tools  as well as top clients like Disney  JPMorgan and Adobe.
,Making a big investment like this in email might seem like a kind of return to basics  but MessageBird CEO and founder Robert Vis said it's still a widely-used method of communication between businesses and their customers.
,"MessageBird ""wants to make communicating with a business to feel as natural as with a friend "" Vis told CNBC in an interview."
,"Vis said MessageBird signed the deal with SparkPost and raised the additional capital simultaneously  a process that took ""roughly 21 days."""
,MessageBird has raised around $1.1 billion from investors to date.
,The combined company will have a total of 25 000 customers and 700 employees  as well as a revenue run rate of $500 million  MessageBird said.
,MessageBird has been on a buying spree lately  acquiring Dutch video software firm 24sessions  Atlanta-based customer data platform Hull.io and London-headquartered messaging start-up Pusher for a combined $100 million across multiple deals.
,Now valued at $3.8 billion  investors are speculating on when MessageBird will enter the public markets.
,× Expand Photo by Caitlin Abrams picnic essentials Gear Up: The best picnic is a spontaneous picnic  so keep essentials at the ready in the back of your rig.
,We paired our large tote with the perfect picnic blanket  which has just the right amount of thickness  a smooth surface (won’t attract grass and twigs)  and fabric that won’t easily snag.
,Banh mi sandwiches are one of life’s picnic triumphs: French-Vietnamese hybrids in which an airy baguette is stuffed with aioli and a harmony of herbs  quick-pickled vegetables  and fillings such as tofu or grilled chicken.
,Tell the kids you’re going to have a fancy picnic like ones you see in magazines.
,When you pull up in front of Yum!  pop your trunk and a nice person will put your picnic in your car.
,Choose a picnic site with a grill  light a match—yep  you’re officially a picnic rock star.
,Picnic is the first full-length collaboration between Kansas City’s Ryan Loecker (aka mdo  co-founder of the C Minus label) and Melbourne  Australia’s Justin Cantrell (aka ju ca  founder of the Daisart label).
,But the communal spirit of Secret Musik lives on in Picnic  which doubles as an international ambient summit welcoming Australia’s Daisart into the fold.
,Heavy on guest features and bundled with more than 80 minutes of remixes  both on the digital album and the limited-edition Bonus CD  Picnic is a celebration of ambient music as a social phenomenon.
,The vinyl version of Picnic runs eight tracks and 41 minutes  including a remix of C Minus co-founder Pil’s “Plush Hooves.”
,But Picnic delights in the way these materials interact.
,There’s an appealing sense of grit throughout Picnic  suggesting sediment flowing downstream or embers leaping from a bonfire.
,Picnic offers few moments of uninterrupted ambient pleasure.
,The bulk of Picnic’s real estate is taken up by percussion  which means both actual percussion instruments and the digital clicks and cuts that saturate nearly every inch of the record.
,Picnic deserves credit for managing such a rough and organic sound without being too hard on the ears  but it’s tough to just sink back into this stuff and relax  and ambient fans who like their music a little more amniotic might find the terrain too rugged for their liking.
,In March 2021  Tiqets conducted a survey with more than seven thousand participants in France  Italy  the Netherlands  Spain  the UK  and the US about their tourism choices post-COVID.
,Top 5 Takeaways from Tiqets’ New Survey
,If you already have online booking enabled on your site  make sure you’re partnered up with the right OTAs  like Tiqets  to broaden your reach.
